Antecesor,Fertilizante,Fsecado,Rendimiento,Bloque,MSVicia,AUMaiz,PPEstival,Temporada,FSVicia,AUVicia,PPInvernal
1,0,1,4224.985055,1,2600,75.57,316.35,2021,128,126.61,79
1,0,2,4317.443795,1,2560,19.72,311.10,2021,128,126.61,79
1,0,3,4518.439506,1,3440,92.16,236.35,2021,128,126.61,79
1,0,1,4587.087719,2,3000,75.57,316.35,2021,128,126.61,79
1,0,2,3434.94425,2,2480,19.72,311.10,2021,128,126.61,79
1,0,3,4202.488889,2,2880,92.16,236.35,2021,128,126.61,79
1,0,1,5596.569201,3,4960,75.57,316.35,2021,128,126.61,79
1,0,2,5291.663158,3,3040,19.72,311.10,2021,128,126.61,79
1,0,3,4596.126316,3,3240,92.16,236.35,2021,128,126.61,79
1,150,1,5103.02846,1,2600,75.57,316.35,2021,128,126.61,79
1,150,2,4562.654451,1,2560,19.72,311.10,2021,128,126.61,79
1,150,3,3906.887589,1,3440,92.16,236.35,2021,128,126.61,79
1,150,1,5760.423392,2,3000,75.57,316.35,2021,128,126.61,79
1,150,2,4961.465887,2,2480,19.72,311.10,2021,128,126.61,79
1,150,3,4303.22807,2,2880,92.16,236.35,2021,128,126.61,79
1,150,1,5810.884211,3,4960,75.57,316.35,2021,128,126.61,79
1,150,2,3889.919688,3,3040,19.72,311.10,2021,128,126.61,79
1,150,3,3906.725926,3,3240,92.16,236.35,2021,128,126.61,79
0,0,1,2111.777778,1,1480,55.24,316.35,2021,128,89.94,79
0,0,2,2602.039766,1,2480,35.84,311.10,2021,128,89.94,79
0,0,3,3672.835348,1,3160,75.56,236.35,2021,128,89.94,79
0,0,1,1838.083431,2,3720,55.24,316.35,2021,128,89.94,79
0,0,2,1924.949708,2,3120,35.84,311.10,2021,128,89.94,79
0,0,3,4226.744639,2,2520,75.56,236.35,2021,128,89.94,79
0,0,1,2587.377778,3,3560,55.24,316.35,2021,128,89.94,79
0,0,2,2599.087719,3,2720,35.84,311.10,2021,128,89.94,79
0,0,3,3251.897076,3,2320,75.56,236.35,2021,128,89.94,79
0,150,1,3055.731774,1,1480,55.24,316.35,2021,128,89.94,79
0,150,2,3035.565952,1,2480,35.84,311.10,2021,128,89.94,79
0,150,3,3827.722937,1,3160,75.56,236.35,2021,128,89.94,79
